,,Data,Matéria,Estimado,Concluido,Estudado,Next
,,,Noções de Direito Constitucional,01:30,01:30,"Mapas Direitos sociais, de nacionalidade, trabalhadores, políticos + Ler art 6,7,8,9","Mapas direitos trabalhadores coletivos + Ler art 6,7,8,9 + questões"
,,,Noções de Direito Penal,00:45,01:30,Mapas Crimes contra administração pública,Mapas Crimes contra o patrimônio
63,46,24/05/2020,Raciocínio Lógico,00:45,00:45,Questões UFPR,Questões UFPR + resto
,,,Informática,00:45,00:45, Mapa de buscadores + mapa linux + Exercícios,Revisão primeiro -> exercícios dps
,,,Língua Portuguesa,01:00,01:00,PDF Concordância,terminar concorddancia verbal e questões
,,,Noções de Legislação Penal Especial,01:30,01:30,PDF Lei de abuso de autoridade,Questões das matérias já vistas
,,,Língua Portuguesa,01:00,01:00,Verbo,Revisar verbo + Muitas questões de verbo
62,47,25/05/2020,Noções de Direito Administrativo,01:30,03:30,Lei 6174,Revisão retroativa
,,,Noções de Direito Constitucional,01:30,01:30,"Mapas direitos trabalhadores coletivos + Ler art 6,7,8,9 + questões","Revisar mapas poder legislativo, poder executivo + Ler a CF desses + questões"
61,48,26/05/2020,Noções de Legislação Penal Especial,01:30,01:30,Exercícios,6. Estatuto da Criança e do Adolescente (Lei nº 8.069/1990).
,,,Redação,01:00,00:50,,
,,,Língua Portuguesa,02:00,02:00,Revisar verbo + Muitas questões de verbo,
60,49,27/05/2020,Noções de Direito Administrativo,01:30,01:45,,Revisão retroativa
,,,Noções de Direito Processual Penal,01:00,01:00,Questões de competência,Revisão geral + Estudar competência de novo
,,,Noções de Direito Constitucional,01:30,01:30,"Revisar mapas poder legislativo, poder executivo + Ler a CF desses + questões","Funções exclusivas do senado e da camara, do presidente, conselhos + estudar mais poder executivo e legislativo"
,,,Noções de Direito Penal,00:45,01:15,Mapas Crimes contra administração pública,
59,50,28/05/2020,Raciocínio Lógico,00:45,00:45,Questões UFPR + resto,
,,,Língua Portuguesa,01:00,01:00,Revisar verbo + Muitas questões de verbo,
,,,Informática,01:00,01:00,Revisão primeiro -> exercícios dps,Revisão primeiro -> exercícios VUNESP dps
